date,womenshealth
9-Sep,"3,972"
9-Oct,"8,439"
9-Nov,"9,337"
9-Dec,"5,431"
10-Jan,"4,129"
10-Feb,"7,632"
10-Mar,"10,208"
10-Apr,"14,336"
10-May,"7,297"
10-Jun,"10,624"
10-Jul,"37,908"
10-Aug,"25,580"
10-Sep,"30,021"
10-Oct,"24,850"
10-Nov,"30,915"
10-Dec,"28,286"
11-Jan,"48,220"
11-Feb,"66,994"
11-Mar,"54,862"
11-Apr,"62,705"
11-May,"59,762"
11-Jun,"55,543"
11-Jul,"56,762"
11-Aug,"73,897"
11-Sep,"59,268"
11-Oct,"45,369"
11-Nov,"58,995"
11-Dec,"46,893"
12-Jan,"61,712"
12-Feb,"289,843"
12-Mar,"238,587"
12-Apr,"87,907"
12-May,"78,144"
12-Jun,"75,780"
12-Jul,"120,345"
12-Aug,"302,149"
12-Sep,"158,948"
12-Oct,"250,758"
12-Nov,"160,845"
12-Dec,"96,995"
13-Jan,"206,774"
13-Feb,"164,500"
13-Mar,"185,139"
13-Apr,"176,556"
13-May,"179,306"
13-Jun,"183,191"
13-Jul,"188,529"
13-Aug,"146,959"
13-Sep,"151,316"
13-Oct,"181,161"
13-Nov,"174,900"
13-Dec,"146,080"
14-Jan,"198,872"
